Date,CHF=X,EURGBP=X,EURJPY=X,AUDUSD=X,EURUSD=X,CAD=X,JPY=X,NZDUSD=X,SGD=X,HKD=X,GBPUSD=X
11/25/2016,0,0,0,0,0,0,0,0,0,0,0
11/28/2016,0,0,0,0,0,0,0,0,0,-0.000122635,0
11/29/2016,0,0,0,0,0,0,0,0,0,0,0
11/30/2016,0,0,0,0,0,0,0,0,0,0,0
12/1/2016,0,0,0,0,0,0,0,0,0,0,0
12/2/2016,-0.005448143,0,0,0,-0.00485761,0,0,0,0,0,0
12/5/2016,0,0.001239862,0,0,0,0,0,0,0,0,0
12/6/2016,0,0,0,0,0,0,0,0,-0.002388457,0,0
12/7/2016,0,0,0,0,0,0,0.026457393,0,0,0,0
12/8/2016,0,0,0,0,0,0,0,0,0,0,0
12/9/2016,0,0,0,0,0,0,0,0,0,0,0
12/12/2016,0,0,0,0,0,0,0,0,0,0,0
12/13/2016,0,0,0,0,0,0,0,0,0,0,0
12/14/2016,0,0,0,0,0,0,0,0,0,0,0
12/15/2016,0,0,0,0.03476038,0,0,0.019205711,0,0,0,0
12/16/2016,0,0,0,0,0,0,0,0,0,0,0
12/19/2016,0,0,0,0,0,0,0.006029677,0,0,0,0
12/20/2016,0,0,0,0,0,0,0,0,0,0,0
12/21/2016,0,0.011302075,0,0,0,0,0,0,0,0,0
12/22/2016,0,0,0,0,0,0,0,-0.005968215,0,0,0.002995499
12/23/2016,0,0,0,0,0,0,0.0042504,0,0,0,0
12/26/2016,0,0,0,0,-0.000952902,0,0,0,0,0,0
12/27/2016,0,0,0,0,0,0,0,0,0.000621994,5.78E-05,0
12/28/2016,0,0,0,0,0,0,0,0.007945493,0,0,0
12/29/2016,0,0,0,0,0,0,0,0,0,0,0
12/30/2016,0,0,0,0,0,0,0,0,0,0,0
1/2/2017,0,0,0,0,0,0,0,0,0,0,0
1/3/2017,0,0,0,0,0,0,0,0,0,0,0
1/4/2017,0,0,0,0,0,0,0,0,0,0,0
1/5/2017,0.012757382,0,0,0,0,0,0,0,0,0,-0.006188165
1/6/2017,0,0,0,0,0,0,0,0,0,0,0
1/9/2017,0,0,0,0,0,0,0,0,0,0,0
1/10/2017,0,0,0,0,0,0,0,0,0,0,0
